Date,Price,Open,High,Low,Vol.,Change %
"Aug 23, 2013",5123.36,5078.10,5142.10,5078.10,867.51M,0.0094
"Aug 22, 2013",5075.75,5100.00,5100.00,5028.00,843.95M,-0.0048
"Aug 21, 2013",5099.99,5078.20,5106.70,5069.50,621.74M,0.0043
"Aug 20, 2013",5078.18,5112.50,5112.50,5057.40,635.17M,-0.0067
"Aug 19, 2013",5112.53,5113.90,5127.40,5098.80,650.72M,-0.0003
"Aug 16, 2013",5113.86,5152.40,5152.40,5101.30,699.26M,-0.0075
"Aug 15, 2013",5152.37,5157.40,5165.10,5141.60,770.52M,-0.0010
"Aug 14, 2013",5157.42,5157.70,5168.20,5143.00,636.86M,-0.0001
"Aug 13, 2013",5157.70,5108.70,5160.90,5108.70,688.77M,0.0096
"Aug 12, 2013",5108.65,5055.20,5109.80,5048.10,600.35M,0.0106
"Aug 09, 2013",5055.21,5064.80,5076.70,5023.10,574.09M,-0.0019
"Aug 08, 2013",5064.80,5011.30,5082.90,5011.30,735.13M,0.0107
"Aug 07, 2013",5011.30,5105.60,5105.60,5007.90,707.46M,-0.0185
"Aug 06, 2013",5105.63,5111.30,5117.70,5087.10,581.27M,-0.0011
"Aug 05, 2013",5111.25,5116.80,5116.80,5100.40,408.37M,-0.0011
"Aug 02, 2013",5116.76,5061.50,5116.80,5061.50,627.32M,0.0109
"Aug 01, 2013",5061.49,5052.00,5092.30,5030.10,679.43M,0.0019
"Jul 31, 2013",5051.98,5047.20,5098.50,5047.20,632.58M,0.0009
"Jul 30, 2013",5047.24,5046.30,5055.20,5025.60,668.40M,0.0002
"Jul 29, 2013",5046.33,5042.00,5059.50,5035.00,447.75M,0.0009
"Jul 26, 2013",5042.03,5035.60,5062.60,5026.50,861.23M,0.0013
"Jul 25, 2013",5035.61,5035.10,5038.00,5007.40,757.20M,0.0001
"Jul 24, 2013",5035.07,5017.10,5053.80,5017.10,671.24M,0.0036
"Jul 23, 2013",5017.11,5001.90,5027.60,5001.90,593.68M,0.0030
"Jul 22, 2013",5001.86,4974.90,5026.70,4974.90,514.67M,0.0060
"Jul 19, 2013",4972.09,4993.40,5010.10,4962.10,669.18M,-0.0043
"Jul 18, 2013",4993.42,4981.70,5008.80,4981.70,622.80M,0.0024
"Jul 17, 2013",4981.68,4986.00,4996.10,4978.90,686.70M,-0.0009
"Jul 16, 2013",4986.02,4981.10,4999.30,4973.70,543.13M,0.0010
"Jul 15, 2013",4981.11,4973.90,4995.80,4960.10,510.79M,0.0015
"Jul 12, 2013",4973.89,4965.70,5012.50,4965.70,665.00M,0.0016
"Jul 11, 2013",4965.70,4901.40,4965.70,4901.40,656.55M,0.0131
"Jul 10, 2013",4901.36,4881.70,4950.80,4881.70,680.65M,0.0040
"Jul 09, 2013",4881.65,4809.50,4894.90,4809.50,592.21M,0.0150
"Jul 08, 2013",4809.53,4841.70,4853.50,4786.10,517.76M,-0.0067
"Jul 05, 2013",4841.75,4794.70,4853.40,4794.70,564.26M,0.0098
"Jul 04, 2013",4794.74,4744.10,4801.10,4744.10,491.33M,0.0107
"Jul 03, 2013",4744.12,4834.00,4834.00,4720.20,681.18M,-0.0186
"Jul 02, 2013",4834.00,4710.30,4834.00,4710.30,728.68M,0.0263
"Jul 01, 2013",4710.29,4802.60,4802.60,4702.70,569.26M,-0.0192
"Jun 28, 2013",4802.59,4811.30,4833.40,4795.60,887.24M,-0.0018
"Jun 27, 2013",4811.28,4731.70,4830.50,4731.70,787.52M,0.0168
"Jun 26, 2013",4731.72,4656.00,4749.70,4656.00,757.75M,0.0163
"Jun 25, 2013",4655.96,4669.10,4688.20,4632.30,950.48M,-0.0028
"Jun 24, 2013",4669.14,4738.80,4738.80,4662.30,731.46M,-0.0147
"Jun 21, 2013",4738.80,4758.10,4758.10,4683.30,1.26B,-0.0041
"Jun 20, 2013",4758.39,4861.40,4861.40,4729.00,979.70M,-0.0212
"Jun 19, 2013",4861.38,4814.40,4861.40,4814.40,716.25M,0.0098
"Jun 18, 2013",4814.35,4825.90,4825.90,4767.50,763.31M,-0.0024
"Jun 17, 2013",4825.88,4773.20,4825.90,4743.30,715.09M,0.0071
"Jun 14, 2013",4791.76,4695.80,4792.60,4695.80,678.55M,0.0204
